,CountryName,CountryCode,BirthRate,GDP,totalGDP
78,Bulgaria,BGR,8.5,10079.2033812203,69889347433.4324
79,Burkina Faso,BFA,36.989,857.932729650223,17933606353.1775
80,Burundi,BDI,37.765,233.837510306669,2780510624.64184
81,Cabo Verde,CPV,18.636,3064.27238842819,1703698676.69742
82,Cambodia,KHM,21.561,1547.51138764424,25872798012.1938
83,Cameroon,CMR,34.421,1537.13021832773,40804449726.0184
84,Canada,CAN,9.4,43258.2638715601,1645423407568.36
85,Cayman Islands,CYM,12.6,85346.7619526658,5608989195.5292
86,Central African Republic,CAF,34.879,481.746296629034,2326720920.59223
87,Chad,TCD,41.161,652.349209585738,10715396135.4168
89,Chile,CHL,11.99,13220.5707580419,252727193710.018
90,China,CHN,8.52,10408.6697561349,14687673892882.0
91,Colombia,COL,14.415,5312.19855554985,270299982887.01
92,Comoros,COM,30.949,1407.40927043446,1223876064.52345
93,"Congo, Dem. Rep.",COD,40.109,543.950392515803,48716960860.0664
94,"Congo, Rep.",COG,31.991,1899.77823742106,10483151093.6873
95,Costa Rica,CRI,13.404,12201.9260332666,62158002233.0279
96,Cote d'Ivoire,CIV,35.168,2325.72370502247,61348579465.1017
97,Croatia,HRV,8.9,14132.4865609499,57203783203.0259
98,Cuba,CUB,9.779,9477.85287326771,107352000000.0
99,Curacao,CUW,10.1,16109.8616665506,2496174735.64702
100,Cyprus,CYP,10.008,27681.56640625,24692095945.1742
101,Czech Republic,CZE,10.3,22933.4995909236,245339322066.759
102,Denmark,DNK,10.4,61063.3164304238,356084867685.639
103,Djibouti,DJI,20.542,3219.70112779347,3181071153.6622
105,Dominican Republic,DOM,18.863,7268.1969096591,78844702329.0785
106,Ecuador,ECU,19.189,5627.77227986528,99291124000.0
107,"Egypt, Arab Rep.",EGY,25.069,3569.20684121108,365252651278.852
108,El Salvador,SLV,17.827,3798.63652082321,24638720000.0
109,Equatorial Guinea,GNQ,32.349,7198.33588370688,10099157269.8025
111,Estonia,EST,9.9,23054.3584905978,30650285471.7215
112,Eswatini,SWZ,25.4,3434.72179830295,3984840580.40634
113,Ethiopia,ETH,31.442,936.45075756247,107657734392.446
114,Faroe Islands,FRO,12.9,66320.6791976778,3240759988.99453
115,Fiji,FJI,20.604,5102.84392924983,4574413823.31243
116,Finland,FIN,8.4,49160.8371522596,271836962949.417
117,France,FRA,10.9,39037.1226309074,2630317731455.26
118,French Polynesia,PYF,14.175,20182.5845029164,5669368717.20724
119,Gabon,GAB,30.257,6881.71422533521,15316824039.3269
120,"Gambia, The",GMB,37.588,757.413111611389,1830412999.95922
121,Georgia,GEO,12.916,4255.74299321254,15842922532.7202
122,Germany,DEU,9.3,46252.6893044892,3846413928653.71
123,Ghana,GHA,28.598,2254.15388897604,70043199813.6885
125,Greece,GRC,7.9,17647.2326882744,188835201625.91
126,Greenland,GRL,14.8,54570.3750190141,3075968328.69677
127,Grenada,GRD,15.902,9273.19929177393,1043411111.11111
128,Guam,GUM,16.348,34624.3401290414,5844000000.0
129,Guatemala,GTM,23.854,4603.33964340645,77604632620.6473
130,Guinea,GIN,35.568,1078.95000622281,14169626010.1229
131,Guinea-Bissau,GNB,34.006,727.520171719562,1431758242.90375
132,Guyana,GUY,19.473,6955.93921717789,5471256594.72422
133,Haiti,HTI,23.58,1272.36799204205,14508218017.4032
134,Honduras,HND,21.06,2405.73284775141,23827840809.7014
135,"Hong Kong SAR, China",HKG,5.8,46100.975872923,344881400505.337
136,Hungary,HUN,9.6,16075.9732662505,156743134665.959
137,Iceland,ISL,12.3,59264.0340913145,21718075725.2054
138,India,IND,17.437,1933.1010689481,2667687951796.56
139,Indonesia,IDN,17.448,3870.55761979249,1058688935454.78
140,"Iran, Islamic Rep.",IRN,17.94,2756.74997687567,231547571240.469
141,Iraq,IRQ,28.139,4583.7474936713,184369797315.436
142,Ireland,IRL,11.2,85422.5428682266,425888950992.003
144,Israel,ISR,19.2,44177.5712248445,407100736594.064
145,Italy,ITA,6.8,31834.9726184046,1892574064222.11
146,Jamaica,JAM,15.695,4664.53024222133,13812425036.5864
147,Japan,JPN,6.8,39918.1675583443,5040107754084.11
148,Jordan,JOR,21.109,4282.76582461621,43697659295.7747
149,Kazakhstan,KAZ,22.76,9121.63713797145,171082379532.988
150,Kenya,KEN,27.936,1872.12402649219,100666542665.72
151,Kiribati,KIR,26.999,1514.59105909467,180911843.644622
153,"Korea, Rep.",KOR,5.3,31597.5046490718,1637895802792.9
154,Kosovo,XKX,15.4,4310.81118337317,7716925356.12536
155,Kuwait,KWT,12.616,24811.7697100231,105960225688.145
156,Kyrgyz Republic,KGZ,24.0,1182.52170043018,7780874536.66054
157,Lao PDR,LAO,22.66,2608.98283307549,18981800705.0794
158,Latvia,LVA,9.2,17703.9534432332,33645460617.239
159,Lebanon,LBN,17.17,3801.79274268223,25948915861.1985
160,Lesotho,LSO,25.998,1050.63163365737,2250717718.46577
161,Liberia,LBR,32.355,601.063005802862,3039982540.0
162,Libya,LBY,17.806,7614.32544908885,52320215472.0934
164,Lithuania,LTU,9.0,20232.3020358588,56546957475.4912
165,Luxembourg,LUX,10.2,116356.158037286,73353132793.7076
166,"Macao SAR, China",MAC,10.712,39403.1359073362,25586111076.3415
167,Madagascar,MDG,32.145,477.613041384398,13225591803.6232
168,Malawi,MWI,33.416,636.286309590051,12172128469.5737
169,Malaysia,MYS,16.435,10412.3476677499,337006023789.699
170,Maldives,MDV,13.055,6924.10574465625,3742769967.42798
171,Mali,MLI,40.557,862.453012011092,17465392779.0366
172,Malta,MLT,8.6,28946.4626770412,14917038504.285
174,Mauritania,MRT,32.843,1702.48695898248,7915985513.70246
175,Mauritius,MUS,10.6,8632.75285872458,10926820603.402
176,Mexico,MEX,17.005,8431.66501744762,1087117783073.31
177,"Micronesia, Fed. Sts.",FSM,22.606,3542.96978797168,407515927.98229
178,Moldova,MDA,9.763,4525.75965363511,11859730543.5525
